H,T,seed,curvature_fd_euro,dk,price_m2,price_se_m2,price_m1,price_se_m1,price_0,price_se_0,price_p1,price_se_p1,price_p2,price_se_p2,price_fit_rmse,price_fit_cond,price_atm_fit,price_quadratic_coef_scaled,iv_fit_rmse,iv_fit_cond,iv_atm_fit,iv_quadratic_coef_scaled,iv_m2,iv_m1,iv_0,iv_p1,iv_p2
0.05,0.00625,0,-6.638732486912224,0.0023717082451262844,0.011785217409011053,0.00018856700833274595,0.010423170406800233,0.0001783985106264628,0.009160743925234492,0.0001679616129793896,0.007994786504648336,0.0001573832014563462,0.006930252449444713,0.00014671152764973903,2.625902887130853e-06,7.980424036748029,0.009160743925232058,8.5750276434923,2.0855945342920094e-05,7.980424036748029,0.2904562117219959,-3.319366243456112,0.29223269206620067,0.2913408430329067,0.2904562117220052,0.28953423754082797,0.28856116527698883
0.05,0.00625,1,-51.73077774104608,0.0023717082451262844,0.011907459997279357,0.0001889979616195791,0.010548649493463383,0.00017870442361438238,0.009281958028415666,0.00016819116365424756,0.008102505016384792,0.00015760482518749417,0.0070235931717568005,0.00014692433138806604,6.336912905927183e-06,7.980424036748029,0.009281958028410212,7.754529158987246,2.406062789295079e-05,7.980424036748029,0.2942995010338476,-25.86538887052304,0.2961340755576146,0.29534022206569643,0.29429950103385166,0.29296779437719755,0.2913143098294424
0.05,0.00625,2,15.56956038135038,0.0023717082451262844,0.011729319696623974,0.00018890437973447078,0.010379242116148569,0.0001786785175249316,0.009119089852879894,0.00016828454784215921,0.007959770418126004,0.00015771862356307522,0.006904148653778402,0.0001470403099131204,5.0434337829414236e-06,7.980424036748029,0.009119089852882303,8.96291808934784,2.002122520170477e-05,7.980424036748029,0.28913550194599147,7.78478019067519,0.2908777368845256,0.289940585815112,0.2891355019460033,0.2884179968539924,0.2877830677896926
0.05,0.00625,3,8.093963448012609,0.0023717082451262844,0.01168088035792127,0.00018950812508650129,0.010335798401031203,0.00017930771966377033,0.009083258483403278,0.00016892282925183854,0.007930618106986198,0.00015837996667324123,0.006880796107869502,0.0001477388755875744,3.5398429032146507e-06,7.980424036748029,0.009083258483404607,8.879959218269697,1.6176166723823853e-05,7.980424036748029,0.2879994103878996,4.046981724006304,0.28919367777824784,0.2885557037098256,0.28799941038791077,0.2874886456103465,0.28702457562545003
0.05,0.00625,4,66.62481784764675,0.0023717082451262844,0.011732303869922115,0.00019203383434107717,0.010386267567448449,0.00018193872955159652,0.009139387077334086,0.00017160338495820885,0.00800213063522849,0.0001610184456267073,0.006958284394808586,0.00015040459923023098,8.631022734299021e-06,7.980424036748029,0.009139387077342088,9.744359820162847,1.8785731394242456e-05,7.980424036748029,0.28977905829612277,33.31240892382338,0.2909601614854226,0.29016453378111307,0.28977905829614015,0.28976834741149093,0.2901550337353856
0.05,0.00625,5,43.040131175119356,0.0023717082451262844,0.011684265430082687,0.00018778222700898298,0.010336566351168683,0.00017750966098701099,0.009086179548403009,0.00016699129373427504,0.007941826729348182,0.00015623209667811494,0.006888807240742779,0.00014544563123398315,7.644310129753328e-06,7.980424036748029,0.009086179548410036,9.425242994027132,1.7595512313789885e-05,7.980424036748029,0.2880920274812886,21.520065587559678,0.28934753563332355,0.28858018475069674,0.28809202748130364,0.28784597094971043,0.2878551349452024
0.05,0.00625,6,16.10197208172179,0.0023717082451262844,0.011768445420018623,0.00019133710530569166,0.010420950368372525,0.00018118466217401934,0.009174559105069707,0.00017076037306873598,0.008028502284007142,0.00016015639889290948,0.0069749237320928,0.00014952943707113137,3.530194012332676e-06,7.980424036748029,0.00917455910507183,8.918617087268887,1.4098669931913944e-05,7.980424036748029,0.29089424435703576,8.050986040860895,0.2917667034213635,0.29127007885789163,0.29089424435704764,0.2906089834491163,0.2904232865419809
0.1,0.1,0,-1.3475939457538164,0.009486832980505138,0.04738131920410871,0.0007478359470125392,0.04188989546431149,0.0007070405322017753,0.03679949408848116,0.000665089183226933,0.03208278038826214,0.0006226331348435633,0.027776480442374567,0.0005797336282083379,2.0474325524496767e-05,7.980424036748029,0.036799494088461934,2.076042642711074,2.7017992862019534e-05,7.980424036748029,0.291696878917777,-0.6737969728769082,0.29405977489221025,0.2929123540670404,0.29169687891778445,0.29036012031338104,0.2888735034519154
0.1,0.1,1,-2.840687669638565,0.009486832980505138,0.04786920207939666,0.0007495814292281567,0.04238368766686802,0.000708365408340281,0.03727168371237139,0.0006661726960371715,0.03251158441428215,0.0006236201085943973,0.028149234246958827,0.0005806858342423283,2.2665067719520435e-05,7.980424036748029,0.037271683712351164,1.9550258693783729,3.075854147022045e-05,7.980424036748029,0.2954397629697929,-1.4203438348192825,0.2980536515246021,0.2968467838754231,0.29543976296979746,0.2937770801738864,0.2918181247632112
0.1,0.1,2,0.8057653906429515,0.009486832980505138,0.047123461541774866,0.0007490311755193895,0.04167625181332963,0.0007080648518529303,0.036589985171692374,0.0006663629267817049,0.03190394753075,0.0006239630086649251,0.027633042139791494,0.0005810889912422552,1.879090133578262e-05,7.980424036748029,0.03658998517169968,2.2234944481428087,2.6143290991520702e-05,7.980424036748029,0.2900361740999817,0.40288269532147575,0.2925118489122746,0.29120991697734755,0.29003617409999305,0.28893495010775117,0.2878884071132237
