H,T,seed,curvature_fd,dk,price_fit_rmse,price_fit_cond,iv_fit_rmse,iv_fit_cond,fd_selected_bump_frac,fd_status,price_m2,price_se_m2,price_m1,price_se_m1,price_0,price_se_0,price_p1,price_se_p1,price_p2,price_se_p2,price_atm_fit,price_quadratic_coef_scaled,iv_atm_fit,iv_quadratic_coef_scaled,iv_m2,iv_m1,iv_0,iv_p1,iv_p2
0.05,0.05,4,-1.277551426097859,0.007745966692414834,1.2202699995732834e-05,7.980424036748029,0.00010922252866585357,7.980424036748029,0.2,stable,0.024349939109656837,0.00042403317317246577,0.019507958983098247,0.0003849089693280386,0.01525908751417012,0.0003434282507078639,0.011627209777611527,0.0003008012132666096,0.008625517916612186,0.00025818635186827495,0.015259087514173325,5.1416144363061225,0.17105410297429224,-0.6387757130489295,0.17268317954193835,0.17178689003946337,0.1710541029743776,0.17024466282338538,0.16940298950131533
0.05,0.05,5,-11.75656154960939,0.007745966692414834,2.117553286743313e-05,7.980424036748029,4.56462179093916e-05,7.980424036748029,0.2,stable,0.02386784126716817,0.000418099152298043,0.019102155775354318,0.0003781238790957747,0.014928267535911434,0.0003358072511255551,0.011330195307671362,0.00029278661510153396,0.0083525105602943,0.0002499065951396239,0.014928267535893268,4.798466760627519,0.1673456168293987,-5.878280774804695,0.16632202956189612,0.1671417835582907,0.16734561682944024,0.16684405640744737,0.16568621923586713
0.05,0.05,6,11.469709778336204,0.007745966692414834,5.5007492557864034e-05,7.980424036748029,0.00018178303688360094,7.980424036748029,0.2,stable,0.024096539738791202,0.0004191648548388077,0.01920451716388899,0.0003807694129706193,0.014891490935842903,0.0003404494990395311,0.011277541219878125,0.00029848987120062036,0.008336024532694103,0.0002563992807437156,0.014891490935886915,5.825637599213952,0.1669333517892787,5.734854889168102,0.17077150298826085,0.1683139887573727,0.16693335178943103,0.1662408974075818,0.1663555449618116
0.05,0.025,0,-5.787448784159243,0.005477225575051661,5.7361796768022865e-06,7.980424036748029,0.0001105168910497952,7.980424036748029,0.2,stable,0.016886556082312758,0.0002915696699643241,0.013449245013629329,0.00026388168499297043,0.010443945367570373,0.00023443461912665803,0.007883448115103931,0.00020419465840455203,0.005766799396181229,0.00017413855438230206,0.010443945367574498,7.413373226267615,0.16557109507996848,-2.8937243920796214,0.16690168135316993,0.16620190995974757,0.16557109508005538,0.16476665673649163,0.16383576346600268
0.05,0.025,1,-3.6442033484276664,0.005477225575051661,2.9064360256310874e-06,7.980424036748029,9.79940769936715e-05,7.980424036748029,0.2,stable,0.017192524465183927,0.0002987412613812287,0.013766258947361604,0.0002710487663699711,0.010777217128895074,0.0002414384903638825,0.008222943982677398,0.0002109584422743818,0.006097422059593244,0.0001805482708520488,0.01077721712889614,7.24614453740991,0.17085455535664107,-1.8221016742138332,0.17191268524820386,0.17133464625654513,0.1708545553567246,0.17026513835611803,0.16963746989884512
0.05,0.025,2,11.001327436577622,0.005477225575051661,2.1810720790056808e-05,7.980424036748029,0.00014852144132598719,7.980424036748029,0.2,stable,0.016962704645298882,0.00029461027281820255,0.013504025765070494,0.00026741874525105033,0.010480008242820606,0.0002385553812363884,0.007930324212153814,0.00020863330062977832,0.005826607151576786,0.00017895175177114507,0.010480008242841014,7.905558191694276,0.16614281099182482,5.500663718288811,0.1686803919685613,0.1670893338391096,0.16614281099195116,0.1655263279673859,0.16534658855758874
0.05,0.025,3,-10.071804539602589,0.005477225575051661,9.868976917730333e-06,7.980424036748029,9.083607266690008e-05,7.980424036748029,0.2,stable,0.01683809729404619,0.0002953878247752963,0.013434104123705147,0.00026767908495372846,0.010447458493845265,0.00023848379700874194,0.007897526556906493,0.00020868220422786795,0.005794888278273697,0.00017915796735764358,0.0104474584938479,7.278561548509868,0.165626789757016,-5.035902269801294,0.16617767152730273,0.16595659808379798,0.16562678975709264,0.16499482729389348,0.1641227183810366
0.05,0.025,4,-2.5998688105353107,0.005477225575051661,8.44285335203408e-06,7.980424036748029,0.00010727927939565397,7.980424036748029,0.2,stable,0.017238953895712287,0.0003006227723106054,0.01381792955468638,0.0002729553398099224,0.010815672620323902,0.0002436278278208656,0.008248564405627878,0.00021349501720984942,0.006125989016763416,0.00018336943909565457,0.010815672620325997,7.252478660968035,0.17146420215234714,-1.2999344052676554,0.17303430249906346,0.17217062832983818,0.17146420215243183,0.17067977991037156,0.16986431320839235
0.05,0.025,5,-23.505956541741355,0.005477225575051661,1.4948413444372888e-05,7.980424036748029,4.4648121446880144e-05,7.980424036748029,0.2,stable,0.016898269002905402,0.00029640196601889005,0.013531136034317819,0.0002681326075804166,0.010581785704063677,0.00023821284080882018,0.008038511739560012,0.00020779954557500213,0.005932622901764615,0.00017748541516337624,0.01058178570405077,6.76793943003285,0.16775632055308465,-11.752978270870678,0.16668074626220375,0.16752843305312293,0.16775632055312584,0.1672790293567123,0.16614830529404825
0.05,0.025,6,22.99968090717183,0.005477225575051661,3.9025071339844175e-05,7.980424036748029,0.00017985556282824254,7.980424036748029,0.2,stable,0.017059549826982157,0.0002971998376330784,0.013603646211781728,0.0002700421459140742,0.010555903709359231,0.00024153703098251874,0.008001491945770225,0.00021187556772539294,0.0059214131366434625,0.00018211975815067457,0.010555903709390479,8.222178978479953,0.16734600528915983,11.499840453585914,0.17113262932897605,0.16870262412670026,0.16734600528931134,0.16667937687853313,0.16682417889199097
0.05,0.0125,0,-11.674915188243402,0.003872983346207417,3.879759936851211e-06,7.980424036748029,0.00010854053576492067,7.980424036748029,0.2,stable,0.011953582723499643,0.00020666723607210274,0.009524881426537598,0.00018708716698297937,0.0074012967927543395,0.0001662669008711815,0.005591463551051138,0.00014488928857383615,0.00409454256910727,0.0001236424980384267,0.007401296792757181,10.458379735623936,0.16593681405334645,-5.837457594121701,0.1672089202433198,0.1665416627710374,0.16593681405343266,0.16515684160766034,0.1642515807573463
0.05,0.0125,1,-7.170249243053391,0.003872983346207417,2.223739630543175e-06,7.980424036748029,9.665488360628908e-05,7.980424036748029,0.2,stable,0.012171142663721714,0.00021175803272462836,0.009750316249498495,0.00019217269534773824,0.007638091145358766,0.00017123685971028396,0.005832662319074168,0.0001496881598835026,0.004329396526809644,0.00012819106088748507,0.0076380911453596155,10.226542595058058,0.17124573511906668,-3.5851246215266954,0.17225605208442127,0.17170307253078665,0.17124573511914976,0.17068084396853564,0.17008203512250014
0.05,0.0125,2,21.84580188006652,0.003872983346207417,1.532528382265187e-05,7.980424036748029,0.000146581259932355,7.980424036748029,0.2,stable,0.012007210939565726,0.00020882932621815064,0.009563628050570717,0.0001895975666324767,0.0074268105342018866,0.00016919024697832402,0.005624595103405626,0.00014803806389821741,0.004136995787022656,0.00012705415360349313,0.007426810534216232,11.153402850510837,0.1665088312404089,10.92290094003326,0.16898652122586375,0.16742925570994527,0.16650883124053437,0.165916093798824,0.16575992002247417
0.05,0.0125,3,-19.73119179214872,0.003872983346207417,6.920104579670759e-06,7.980424036748029,8.971161094012383e-05,7.980424036748029,0.2,stable,0.011919531365487384,0.0002093780775903418,0.009514437759400767,0.00018978336037143995,0.007403892211269513,0.00016914317323773412,0.005601709205873502,0.00014807360617438597,0.0041148600592784725,0.0001272002514028436,0.007403892211271563,10.278751424235212,0.16599500324526006,-9.86559589607436,0.16650334416805385,0.16630238832769645,0.16599500324533661,0.1653916502857891,0.1645580255048062
0.05,0.0125,4,-5.332495298742841,0.003872983346207417,5.837190092673445e-06,7.980424036748029,0.00010541797447235895,7.980424036748029,0.2,stable,0.012203591396927777,0.00021309737297423557,0.009786408831526035,0.00019353228073357877,0.007664960298785242,0.0001727971280200063,0.005850430259061212,0.00015149641813830744,0.004349547143650612,0.0001301997235507781,0.007664960298786577,10.230616433714408,0.17184814059486644,-2.6662476493714204,0.17336002908070336,0.17252882350372697,0.17184814059495043,0.1710874702563577,0.17029610591316463
0.05,0.0125,5,-47.008389883227075,0.003872983346207417,1.055899554374082e-05,7.980424036748029,4.377690497491331e-05,7.980424036748029,0.2,stable,0.011962850461989385,0.00021009595199298565,0.009583751263528744,0.0001901049358882442,0.007499618237610431,0.00016895041871728826,0.005701901227732915,0.00014744984652732815,0.00421260834063627,0.00012601920160675638,0.007499618237601262,9.547200535912685,0.16814117739233042,-23.504194941613537,0.1670154888908392,0.16789015096320906,0.16814117739237117,0.16768707797312238,0.16658208769029226
