H,T,logT,curv_mall,se_mall,abs_curv_mall,log_abs_curv_mall,curv_fd,se_fd,abs_curv_fd,log_abs_curv_fd,curv_theory,abs_curv_theory,log_abs_curv_theory,time_mall_s,time_fd_s,fd_selected_bump_frac,fd_status,fd_blowup_flag,fd_blowup_ratio_smallest_to_largest,fd_rel_se_selected,fd_neighbor_log_gap_selected,n_steps,n_paths_mall,n_paths_fd,n_seeds_fd
0.15,0.05,-2.995732273553991,0.0004731259230121188,1.2100425022914872e-06,0.0004731259230121188,-7.656148982890197,-7.439464532975733,3.570795787336396,7.439464532975733,2.0067988748807073,0.0004575240468750477,0.0004575240468750477,-7.6896811131544895,22.708507915958762,0.6195399169810116,0.2,stable,False,2.8173974276482823,0.47998021517660266,0.7919863354006738,256,8000,4000,7
0.15,0.025,-3.6888794541139363,0.00019352140893417246,4.44874343071359e-07,0.00019352140893417246,-8.550122411127965,-15.39070400108214,7.323697044446609,15.39070400108214,2.7337636908644782,0.00018581250173243003,0.00018581250173243003,-8.590772447882419,22.218683082959615,0.5790686670225114,0.2,stable,False,3.0725044998763242,0.47585198467410394,0.8354172508085018,256,8000,4000,7
0.15,0.0125,-4.382026634673881,7.904995384349762e-05,1.6342361528277277e-07,7.904995384349762e-05,-9.445430578198938,-31.447809711757326,14.846804895206116,31.447809711757326,3.4483293372158967,7.546332490255673e-05,7.546332490255673e-05,-9.491863782610348,22.588774624979123,0.6109628750709817,0.2,stable,False,3.4282485852976,0.47210934660595366,0.8667653865864513,256,8000,4000,7
0.15,0.00625,-5.075173815233827,3.2255452959605e-05,5.999283343936936e-08,3.2255452959605e-05,-10.341823444996825,-63.194593892903676,29.688517516479486,63.194593892903676,4.1462187578248395,3.0647633244555445e-05,3.0647633244555445e-05,-10.392955117338277,22.394678042037413,0.6097940839827061,0.2,stable,False,3.701223454380114,0.4697952101218156,0.8836761706921874,256,8000,4000,7
0.2,0.1,-2.3025850929940455,0.0009376396747525603,2.6585727035987015e-06,0.0009376396747525603,-6.972144824814349,-3.643940220154046,1.7228631300790722,3.643940220154046,1.2930655742560258,0.0009017403242651954,0.0009017403242651954,-7.011183968190845,24.492688082973473,0.7142839579610154,0.2,stable,False,2.486631922748181,0.4728022486620922,0.738868788960779,256,8000,4000,7
0.2,0.05,-2.995732273553991,0.0003572577435877095,8.78019715318608e-07,0.0003572577435877095,-7.937053065846285,-7.791540042370781,3.6514296562205266,7.791540042370781,2.0530385351280573,0.0003416956870448038,0.0003416956870448038,-7.981590020974768,26.28111529198941,0.7598272080067545,0.2,stable,False,2.8765960922419684,0.4686402991403331,0.8145260296068484,256,8000,4000,7
0.2,0.025,-3.6888794541139363,0.00013594087503733353,2.898973268301554e-07,0.00013594087503733353,-8.903290509128633,-16.17099103532066,7.493788685539194,16.17099103532066,2.7832189602279986,0.00012947845338974037,0.00012947845338974037,-8.951996073758691,25.023753334069625,0.6544117500307038,0.2,stable,False,3.3629556648694217,0.4634093649035652,0.8645339355561199,256,8000,4000,7
0.2,0.0125,-4.382026634673881,5.167501471340297e-05,9.569599046635296e-08,5.167501471340297e-05,-9.870536167666865,-50.56009892647465,23.257945988781973,50.56009892647465,3.9231627064520884,4.906315920224347e-05,4.906315920224347e-05,-9.922402126542615,25.25290233292617,0.682148625026457,0.1,stable,False,3.7839715821352917,0.46000594307784226,0.44369755690542156,256,8000,4000,7
0.2,0.00625,-5.075173815233827,1.9628137961388305e-05,3.1584444286028504e-08,1.9628137961388305e-05,-10.838546410956127,-106.54038166850235,40.944095706912826,106.54038166850235,4.668524083878742,1.859146080204438e-05,1.859146080204438e-05,-10.892808179326538,24.387926000053994,0.6394009999930859,0.1,stable,False,4.081562612248861,0.3843058853900986,0.5187083798365757,256,8000,4000,7
0.25,0.1,-2.3025850929940455,0.0007182023027445665,1.963567114615188e-06,0.0007182023027445665,-7.238759269905409,-3.7776806041745425,1.7535839533221036,3.7776806041745425,1.329110224524729,0.0006862503959227079,0.0006862503959227079,-7.2842679882041494,24.140454416978173,0.6356379999779165,0.2,stable,False,2.5506765938085607,0.46419592788874153,0.7609500602634665,256,8000,4000,7
