H,T,curv_fd_euro,se_fd_euro,abs_curv_fd_euro,log_abs_curv_fd_euro,beta_theory_euro,fd_selected_bump_frac,fd_status,fd_blowup_flag,fd_rel_se_selected,fd_neighbor_log_gap_selected,n_steps,n_paths_fd,n_seeds_fd
0.2,0.025,4.263191453604101,3.30461078895735,4.263191453604101,1.4500180473080764,0.4,0.1,unstable_fallback,True,0.7751495153152536,1.2214787186398879,256,6000,7
0.2,0.0125,8.237230785998856,6.606474639499959,8.237230785998856,2.1086642177769837,0.4,0.1,unstable_fallback,True,0.8020261676690233,1.2819569515057334,256,6000,7
0.2,0.00625,15.875274901056715,13.121427142562768,15.875274901056715,2.7647628612308224,0.4,0.1,unstable_fallback,True,0.8265322789269847,1.3602757418117728,256,6000,7
0.25,0.1,0.982606788001894,0.8664127314970056,0.982606788001894,-0.017546251066795675,0.5,0.1,unstable_fallback,True,0.8817491819477798,1.12544953254401,256,6000,7
0.25,0.05,2.10812577867484,1.7202848308997292,2.10812577867484,0.7457992962021481,0.5,0.1,unstable_fallback,True,0.816025707906809,1.2339507745669036,256,6000,7
0.25,0.025,4.225153689858599,3.4107976752483733,4.225153689858599,1.441055636445429,0.5,0.1,unstable_fallback,True,0.8072600254601674,1.3402247003781778,256,6000,7
0.25,0.0125,8.241034088323355,6.7281152341668164,8.241034088323355,2.1091258322031434,0.5,0.1,unstable_fallback,True,0.8164163819804873,1.444594899634882,256,6000,7
0.25,0.00625,15.601182998732085,13.279709048006222,15.601182998732085,2.7473467446323525,0.5,0.1,unstable_fallback,True,0.8511988513361756,1.5377157153795868,256,6000,7
0.3,0.1,1.0378131478728327,0.8865335070428222,1.0378131478728327,0.037115756856443756,0.6,0.1,unstable_fallback,True,0.8542322949559052,1.2245193885172712,256,6000,7
0.3,0.05,2.1893674306603286,1.7473473548131648,2.1893674306603286,0.7836126576574789,0.6,0.1,unstable_fallback,True,0.79810603297691,1.352632809517576,256,6000,7
0.3,0.025,4.329142305975745,3.4608715428753882,4.329142305975745,1.4653694406328175,0.6,0.1,unstable_fallback,True,0.7994358462409894,1.478621577955476,256,6000,7
0.3,0.0125,8.198639201411629,6.7055370421741705,8.198639201411629,2.1039681894514466,0.6,0.1,unstable_fallback,True,0.8178841485084039,1.5898386268342528,256,6000,7
0.3,0.00625,14.951705795411023,13.101793513738794,14.951705795411023,2.7048253933552755,0.6,0.1,unstable_fallback,True,0.8762741651698361,1.7288242355372447,256,6000,7
0.35,0.1,1.1137248390947612,0.8816950777394718,1.1137248390947612,0.10771010838698963,0.7,0.1,unstable_fallback,True,0.7916632967045218,1.3424081451647938,256,6000,7
0.35,0.05,2.3220666776927135,1.7634998972422313,2.3220666776927135,0.8424575984933509,0.7,0.1,unstable_fallback,True,0.7594527384521561,1.4747576015179704,256,6000,7
0.35,0.025,4.373801707547987,3.407601125570543,4.373801707547987,1.4756325868757743,0.7,0.1,unstable_fallback,True,0.779093647453188,1.6049945381982798,256,6000,7
0.35,0.0125,7.883896058197175,6.604893215292262,7.883896058197175,2.0648222053117817,0.7,0.1,unstable_fallback,True,0.8377702047993026,1.7522986608939302,256,6000,7
0.35,0.00625,13.904548953820338,12.91664480065844,13.904548953820338,2.632216049462608,0.7,0.1,unstable_fallback,True,0.9289510104611868,1.9600615615416257,256,6000,7
0.4,0.1,1.2034035336479465,0.8900416520287637,1.2034035336479465,0.18515382018666246,0.8,0.1,unstable_fallback,True,0.7396036550854468,1.4476819715817688,256,6000,7
